country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,South Australia,City of Marion,,,,ChIJmVefRSXasGoRBpX8AkJQijw,2021-04-29,-4.0,14.0,6.0,-3.0,4.0,2.0
AU,Australia,South Australia,City of Mitcham,,,,ChIJj2c2WebRsGoRsoe7mwIMrkw,2021-04-29,4.0,-1.0,-12.0,34.0,-1.0,2.0
AU,Australia,South Australia,City of Mount Gambier,,,,ChIJET3cWaEonqoRMrk2WBAhifA,2021-04-29,7.0,16.0,-24.0,,3.0,0.0
AU,Australia,South Australia,City of Onkaparinga,,,,ChIJXQjYNb8osWoRBzaduogWPOU,2021-04-29,3.0,18.0,-3.0,13.0,-4.0,2.0
AU,Australia,South Australia,City of Playford,,,,ChIJX45OVt6tsGoRi4BW54k9joQ,2021-04-29,5.0,46.0,27.0,-21.0,9.0,1.0
AU,Australia,South Australia,City of Port Adelaide Enfield,,,,ChIJNTsoSuS3sGoRo2hpztb84rI,2021-04-29,4.0,23.0,-21.0,-3.0,-3.0,2.0
AU,Australia,South Australia,City of Port Lincoln,,,,ChIJYa6oDc_Dq2oRW_Sb9tbL18g,2021-04-29,,,,,5.0,
AU,Australia,South Australia,City of Prospect,,,,ChIJAbaPlgHJsGoRLpTmYhaOUxs,2021-04-29,-4.0,26.0,,,3.0,
AU,Australia,South Australia,City of Salisbury,,,,ChIJEQXaPC6xsGoRKkBKqYiVhmk,2021-04-29,15.0,31.0,-12.0,-30.0,5.0,1.0
AU,Australia,South Australia,City of Tea Tree Gully,,,,ChIJ-wqJpspMt2oRrRs6Lwie980,2021-04-29,-1.0,7.0,-16.0,-1.0,3.0,2.0
AU,Australia,South Australia,City of Unley,,,,ChIJtwbT6PnOsGoREFK8YONerkA,2021-04-29,-2.0,,,-9.0,2.0,2.0
AU,Australia,South Australia,City of Victor Harbor,,,,ChIJU91ZLHZFsWoRr4eLDSDCFKE,2021-04-29,,0.0,-40.0,,20.0,
AU,Australia,South Australia,City of West Torrens,,,,ChIJ-zpwR2zFsGoRONxkJhVv_qo,2021-04-29,6.0,20.0,,-24.0,-2.0,1.0
AU,Australia,South Australia,District Council of Loxton Waikerie,,,,ChIJDapjdwpyx2oRpHtnWWaU9Ug,2021-04-29,,,,,1.0,
AU,Australia,South Australia,District Council of Mallala,,,,ChIJD-gDa06gsGoRdci6eRYLMk4,2021-04-29,,,,,7.0,
AU,Australia,South Australia,District Council of Mount Barker,,,,ChIJPa6DT2Mwt2oRalTk28YfRtA,2021-04-29,13.0,26.0,,,11.0,-1.0
AU,Australia,South Australia,District Council of the Copper Coast,,,,ChIJy7EdTe2-umoRxxsHBL963YQ,2021-04-29,,,,,8.0,
AU,Australia,South Australia,Light Regional Council,,,,ChIJt8_5FEryuWoRdkmLGgNmjcQ,2021-04-29,,,,,8.0,
AU,Australia,South Australia,Port Augusta City Council,,,,ChIJbfbp_TbovGoREbSgdTr7gxQ,2021-04-29,,,,,8.0,
AU,Australia,South Australia,Port Pirie Regional Council,,,,ChIJmZlpZrmdu2oRLqeMMeJVEPk,2021-04-29,,24.0,,,11.0,
AU,Australia,South Australia,Renmark Paringa Council,,,,ChIJjefCC6cuwWoRKf0C5gnoNBM,2021-04-29,,,,,2.0,
AU,Australia,South Australia,The Barossa Council,,,,ChIJaVhKnqfmuWoRljPuMdBVmCc,2021-04-29,-16.0,,,,10.0,-1.0
AU,Australia,South Australia,The Berri Barmera Council,,,,ChIJOfmwbcI6x2oRTTrpp-7T48c,2021-04-29,,,,,2.0,
AU,Australia,South Australia,The City of Norwood Payneham and St Peters,,,,ChIJdYnSuGPJsGoRCVfo9x8-rCU,2021-04-29,-10.0,30.0,-15.0,,-1.0,3.0
AU,Australia,South Australia,The Corporation of the City of Whyalla,,,,ChIJE_pDrp9Ru2oRubThdNns8Jk,2021-04-29,,,,,3.0,0.0
AU,Australia,South Australia,The Rural City of Murray Bridge,,,,ChIJq880gs4Lt2oRKWH453vK72A,2021-04-29,-5.0,3.0,,,10.0,
AU,Australia,South Australia,Town of Gawler,,,,ChIJXRSkBUdVt2oR48RphwHGCBo,2021-04-29,8.0,10.0,,-45.0,3.0,0.0
AU,Australia,Tasmania,Break O'Day Council,,,,ChIJ3bQzcfYud6oR9-NG3xnrEyc,2021-04-29,,,-47.0,,,
AU,Australia,Tasmania,Brighton Council,,,,ChIJXzGOTPQRbqoRuSeN1DuUZFM,2021-04-29,,40.0,,,16.0,
AU,Australia,Tasmania,Burnie City Council,,,,ChIJL-vsX5a9e6oRtRsO6Ah-lpA,2021-04-29,1.0,0.0,,,11.0,
AU,Australia,Tasmania,Central Coast Council,,,,ChIJVeL21kCxe6oRSXXwA09u2eM,2021-04-29,,,-50.0,,9.0,
