ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
2021-04-28,AUS,GADM,AUS.8.35_1,Mount Barker,-1.3,9.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.36_1,Mount Gambier,5.3,14.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.38_1,Murray Bridge,3.1,12.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.3_1,Alexandrina,-1.6,14.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.41_1,Norwood Payneham St Peters,-11.7,12.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.42_1,Onkaparinga,-7.1,12.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.45_1,Playford,-0.8,14.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.46_1,Port Adelaide Enfield,-1.2,12.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.49_1,Port Pirie City and Dists,-5.3,17.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.54_1,Salisbury,0.2,13.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.58_1,Tea Tree Gully,1.0,12.1,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.5_1,Barossa,-9.7,14.1,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.62_1,Unley,-6.8,12.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.67_1,West Torrens,0.3,12.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.68_1,Whyalla,10.1,13.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.8_1,Burnside,4.1,10.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.9_1,Campbelltown,-3.3,12.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.9.14_1,Glenorchy,1.3,15.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.9.15_1,Hobart,-0.1,15.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.9.19_1,Kingborough,0.5,10.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.9.21_1,Launceston,-2.7,14.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.9.2_1,Brighton,-1.0,15.1,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.9.30_1,West Tamar,-6.7,15.2,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.9.3_1,Burnie,-11.5,16.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.9.4_1,Central Coast,9.0,13.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.9.7_1,Clarence,-1.9,11.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.9.9_1,Devonport,7.8,15.6,full_february,DAY_OF_WEEK
